Country,Indicator,Last,Previous,Highest,Lowest,Date
Albania,Current Account,-216,-359,355,-541,EUR Million
Albania,Current Account to GDP,-0.9,-5.9,2.24,-15.7,percent of GDP
Albania,Government Debt to GDP,58.9,64.5,74.5,4.8,percent of GDP
Albania,Government Budget,-1.4,-3.7,-1.4,-12.6,percent of GDP
Albania,Business Confidence,1.4,-2,5.69,-60.89,points
Albania,Consumer Confidence,-25.3,-26.5,-6.2,-40.81,points
Albania,Corporate Tax Rate,15,15,23,10,percent
Albania,Personal Income Tax Rate,23,23,25,10,percent
Albania,GDP Growth Rate,1,0.79,11.7,-8.7,percent
Albania,GDP Annual Growth Rate,3.6,3.8,18.54,-11.22,percent
Albania,GDP,22.98,18.92,22.98,0.65,USD Billion
Albania,GDP Constant Prices,447416,443892,447416,171020,ALL Million
Albania,Gross Fixed Capital Formation,101961,154555,374058,61462,ALL Million
Albania,GDP per Capita,5394,5155,5394,1086,USD
Albania,GDP per Capita PPP,18060,17260,18060,3637,USD
Albania,Full Year GDP Growth,3.44,4.84,12.89,-10.92,percent
Albania,GDP from Agriculture,74898,54978,102651,44367,ALL Million
Albania,GDP from Construction,42972,69525,69525,22500,ALL Million
Albania,GDP from Manufacturing,26290,29729,32967,12351,ALL Million
Albania,GDP from Mining,58158,53462,58158,30231,ALL Million
Albania,GDP from Public Administration,54048,63264,63264,26970,ALL Million
Albania,GDP from Services,64325,76117,85929,46846,ALL Million
Albania,Unemployment Rate,10.7,10.5,22.3,10.5,percent
Albania,Employed Persons,1325,1338,1338,873,Thousand
Albania,Unemployed Persons,75,77,301,64,Thousand
Albania,Labor Force Participation Rate,63.9,64.5,64.5,50.8,percent
Albania,Wages,75114,73641,75114,3084,ALL/Month
Albania,Minimum Wages,40000,40000,40000,1200,ALL/Month
Albania,Population,2.76,2.79,3.37,1.58,Million
Albania,Retirement Age Women,61.67,61.5,61.67,50,Years
Albania,Retirement Age Men,65,65,65,55,Years
Albania,Wage Growth,5.9,13.8,16.88,-2.38,percent
Albania,Employment Rate,57.1,57.7,57.7,41.5,percent
Albania,Youth Unemployment Rate,22,22,34.2,19.9,percent
Albania,Inflation Rate,2,2.1,237,-2.12,percent
Albania,Inflation Rate MoM,0.5,-0.2,45.7,-3.3,percent
Albania,Consumer Price Index CPI,117,116,117,3.06,points
Albania,Producer Prices,129,130,132,90.2,points
Albania,Producer Prices Change,1.7,2.8,21.4,-4.13,percent
Albania,Harmonised Inflation Rate YoY,2.4,2.5,8,0.6,percent
Albania,CPI Housing Utilities,108,108,108,60.9,points
Albania,CPI Transportation,109,110,130,73.5,points
Albania,Food Inflation,2.4,1.9,15.3,-1.4,percent
Albania,Harmonised Consumer Prices,118,118,118,91.1,points
Albania,Interest Rate,3,3,8.5,0.5,percent
Albania,Money Supply M0,578176,573109,632446,29998,ALL Million
Albania,Money Supply M1,793361,781475,793361,27624,ALL Million
Albania,Money Supply M2,997787,986899,997787,39937,ALL Million
Albania,Money Supply M3,1715869,1697751,1715869,50185,ALL Million
Albania,Banks Balance Sheet,2062427,2046506,2062427,340654,ALL Million
Albania,Deposit Interest Rate,2,2,4.5,0,percent
Albania,Foreign Exchange Reserves,5875,5619,5875,1980,USD Million
Albania,Central Bank Balance Sheet,751022,738059,788209,193528,ALL Million
Albania,Lending Rate,4,4,8,0.9,percent
Albania,Loans to Private Sector,447449,447349,447449,184093,ALL Million
Albania,Balance of Trade,-46427,-52150,-974,-55943,ALL Million
Albania,Current Account,-216,-359,355,-541,EUR Million
Albania,Current Account to GDP,-0.9,-5.9,2.24,-15.7,percent of GDP
Albania,Exports,22493,33320,47681,96.64,ALL Million
Albania,Imports,68920,85470,94568,1601,ALL Million
Albania,Capital Flows,-270,-218,358,-1113,EUR Million
Albania,Gold Reserves,3.42,3.42,3.73,1.56,Tonnes
Albania,Crude Oil Production,13,13,24,5,BBL/D/1K
Albania,External Debt,10111,10292,10292,2406,EUR Million
Albania,Foreign Direct Investment,395,354,411,28.01,EUR Million
Albania,Remittances,268,242,296,115,EUR Million
Albania,Terrorism Index,0,0,1.76,0,Points
Albania,Tourist Arrivals,3012784,1535113,4897668,62116,
Albania,Government Debt to GDP,58.9,64.5,74.5,4.8,percent of GDP
Albania,Government Budget,-1.4,-3.7,-1.4,-12.6,percent of GDP
Albania,Government Budget Value,58100,54975,58100,-110569,ALL Million
Albania,Government Spending,42562,57873,104247,30548,ALL Million
Albania,Government Revenues,463800,402514,643406,4096,ALL Million
Albania,Government Debt,1319965,1317299,1363955,636773,ALL Million
Albania,Fiscal Expenditure,405700,347539,674677,4946,ALL Million
Albania,Corruption Index,37,36,39,23,Points
Albania,Corruption Rank,98,101,126,81,
Albania,Credit Rating,37,,,,
Albania,Government Spending to GDP,29.2,30.4,37.4,26.2,percent of GDP
Albania,Military Expenditure,398,229,398,0,USD Million
Albania,Corporate Tax Rate,15,15,23,10,percent
Albania,Personal Income Tax Rate,23,23,25,10,percent
Albania,Sales Tax Rate,20,20,20,20,percent
Albania,Withholding Tax Rate,15,15,15,15,percent
Albania,Social Security Rate,24.5,24.5,27.9,24.5,percent
Albania,Social Security Rate For Companies,15,15,16.7,15,percent
Albania,Social Security Rate For Employees,9.5,9.5,11.2,9.5,percent
Albania,Business Confidence,1.4,-2,5.69,-60.89,points
Albania,Industrial Production,-5,-3.4,46.3,-25.8,percent
Albania,Manufacturing Production,-3.13,-1.73,38.62,-18.2,percent
Albania,Mining Production,-9.6,-7.9,102,-45.2,percent
Albania,Consumer Confidence,-25.3,-26.5,-6.2,-40.81,points
Albania,Retail Sales YoY,9.5,7.1,74.47,-41.79,percent
Albania,Consumer Spending,319530,304708,827012,216159,ALL Million
Albania,Bank Lending Rate,10.03,10.07,11.36,7.71,percent
Albania,Consumer Credit,294180,291012,294180,102930,ALL Million
Albania,Economic Optimism Index,112,111,120,62.22,points
Albania,Gasoline Prices,2.01,1.98,2.2,0.57,USD/Liter
Albania,Retail Sales MoM,1.2,2,30.5,-28.6,percent
Albania,Building Permits,354,311,509,12,Units
Albania,Construction Output,9,1.3,88.3,-31.2,percent
Algeria,Currency,132,132,147,58.85,
Algeria,GDP Annual Growth Rate,3.8,3.4,8.1,-10.2,percent
Algeria,Unemployment Rate,11.8,12.4,29.5,9.8,percent
Algeria,Inflation Rate,6.42,6.13,11,0.1,percent
Algeria,Interest Rate,3,3,15,2.75,percent
Algeria,Balance of Trade,2674,3790,34060,-3742,USD Million
Algeria,Current Account,0.15,2.08,28.95,-8.54,USD Billion
Algeria,Current Account to GDP,2.9,9.8,24.7,-16.5,percent of GDP
Algeria,Government Debt to GDP,55.1,55.6,115,7.1,percent of GDP
Algeria,Government Budget,-3,-0.2,14.7,-15.7,percent of GDP
Algeria,Corporate Tax Rate,26,26,26,19,percent
Algeria,Personal Income Tax Rate,35,35,35,35,percent
Algeria,GDP Annual Growth Rate,3.8,3.4,8.1,-10.2,percent
Algeria,GDP,240,226,240,2,USD Billion
Algeria,GDP Constant Prices,32590,32028,32590,4124,DZD Billion
Algeria,GDP per Capita,4717,4603,4829,1608,USD
Algeria,GDP per Capita PPP,15348,14974,15711,10397,USD
Algeria,Full Year GDP Growth,4.1,3.2,7.2,-5.1,percent
Algeria,GDP from Agriculture,4204,3323,4204,346,DZD Billion
Algeria,GDP from Construction,4207,3844,4207,271,DZD Billion
Algeria,GDP from Public Administration,3696,3398,3696,425,DZD Billion
Algeria,GDP from Services,6143,5668,6143,770,DZD Billion
Algeria,Unemployment Rate,11.8,12.4,29.5,9.8,percent
Algeria,Population,45.61,44.9,45.61,11.39,Million
Algeria,Minimum Wages,20000,20000,20000,4000,DZD/Month
Algeria,Retirement Age Men,60,60,60,60,Years
Algeria,Retirement Age Women,60,60,60,60,Years
Algeria,Inflation Rate,6.42,6.13,11,0.1,percent
Algeria,Producer Prices,1774,1790,1848,705,points
Algeria,Food Inflation,7.64,7.55,17.3,-3.5,percent
Algeria,Consumer Price Index CPI,303,302,303,132,points
Algeria,CPI Housing Utilities,176,176,176,130,points
Algeria,CPI Transportation,227,227,227,142,points
Algeria,Inflation Rate MoM,0.28,1.97,2.7,-2.7,percent
Algeria,Producer Prices Change,-1.2,-2.3,15.6,-3.9,percent
Algeria,Interest Rate,3,3,15,2.75,percent
Algeria,Deposit Interest Rate,1.75,1.75,17,1.75,percent
Algeria,Foreign Exchange Reserves,64574,64390,194961,43464,USD Million
Algeria,Balance of Trade,2674,3790,34060,-3742,USD Million
Algeria,Current Account,0.15,2.08,28.95,-8.54,USD Billion
Algeria,Current Account to GDP,2.9,9.8,24.7,-16.5,percent of GDP
Algeria,Exports,13695,14381,60300,1831,USD Million
Algeria,Imports,11615,10588,26250,2310,USD Million
Algeria,Gold Reserves,174,174,174,174,Tonnes
Algeria,Crude Oil Production,910,909,1427,775,BBL/D/1K
Algeria,External Debt,3186,3114,5859,2909,USD Million
Algeria,Foreign Direct Investment,0.44,0.15,1.77,-2.12,USD Billion
Algeria,Terrorism Index,2.2,4.08,7.23,2.2,Points
Algeria,Tourism Revenues,219,79,477,28,USD Million
Algeria,Tourist Arrivals,3300,125,3300,125,Thousand
Algeria,Government Debt to GDP,55.1,55.6,115,7.1,percent of GDP
Algeria,Government Budget,-3,-0.2,14.7,-15.7,percent of GDP
Algeria,Corruption Index,36,33,36,26,Points
Algeria,Corruption Rank,104,116,117,84,
Algeria,Military Expenditure,18264,9146,18264,66.4,USD Million
Algeria,Corporate Tax Rate,26,26,26,19,percent
Algeria,Personal Income Tax Rate,35,35,35,35,percent
Algeria,Sales Tax Rate,19,19,19,17,percent
Algeria,Social Security Rate,35,35,35,35,percent
Algeria,Social Security Rate For Companies,26,26,26,26,percent
Algeria,Social Security Rate For Employees,9,9,9,9,percent
Algeria,Industrial Production,3,1.7,15.1,-14.1,percent
Algeria,Manufacturing Production,3.5,-4,21.8,-26.5,percent
Algeria,Changes in Inventories,-132104,1509693,1532737,-132104,DZD Million
Algeria,Mining Production,11.3,9.9,46.4,-35.1,Percent
Algeria,Crude Oil Rigs,33,33,42,2,
Andorra,GDP,3.73,3.38,4.1,0.08,USD Billion
Andorra,GDP per Capita,40162,39721,43259,28051,USD
Andorra,Credit Rating,66,,,,
Andorra,Sales Tax Rate,4.5,4.5,4.5,4.5,percent
Andorra,Withholding Tax Rate,0,0,0,0,percent
Andorra,Precipitation,730,1027,1605,730,mm
Andorra,Temperature,9.73,8.38,9.73,5.95,celsius
Andorra,GDP,3.73,3.38,4.1,0.08,USD Billion
Andorra,GDP per Capita,40162,39721,43259,28051,USD
Andorra,Credit Rating,66,,,,
Andorra,Sales Tax Rate,4.5,4.5,4.5,4.5,percent
Andorra,Withholding Tax Rate,0,0,0,0,percent
Angola,Currency,961,940,962,92.33,
Angola,GDP Growth Rate,2.1,0.3,23.2,-9.5,percent
Angola,GDP Annual Growth Rate,4.6,2,23.2,-11.8,percent
Angola,Unemployment Rate,32.4,31.9,35,19.9,percent
Angola,Inflation Rate,30.53,31.09,241,6.89,percent
Angola,Inflation Rate MoM,1.61,1.68,4.26,0.41,percent
Angola,Interest Rate,19.5,19.5,150,8.75,percent
Angola,Balance of Trade,5627,6362,42932,958,USD Million
Angola,Current Account,440,11763,13841,-10273,USD Million
Angola,Current Account to GDP,4.5,10.1,22.1,-28.1,percent of GDP
Angola,Government Debt to GDP,60.5,50.7,118,16.1,percent of GDP
Angola,Government Budget,-0.1,2.7,11.4,-7,percent of GDP
Angola,Business Confidence,11,8,31,-34,points
Angola,Corporate Tax Rate,25,25,35,25,percent
Angola,Personal Income Tax Rate,25,25,25,15,percent
Angola,GDP Growth Rate,2.1,0.3,23.2,-9.5,percent
Angola,GDP Annual Growth Rate,4.6,2,23.2,-11.8,percent
Angola,GDP,84.72,104,136,4.43,USD Billion
Angola,GDP per Capita,2334,2385,3305,1506,USD
Angola,GDP per Capita PPP,7247,7407,10263,4677,USD
Angola,Full Year GDP Growth,0.9,3,8.5,-5.6,percent
Angola,GDP Constant Prices,419432,408734,444149,305924,AOA Million
Angola,GDP from Agriculture,21360,19869,26084,352,AOA Million
Angola,GDP from Construction,36315,39243,56147,224,AOA Million
Angola,GDP from Manufacturing,14840,19295,19295,241,AOA Million
Angola,GDP from Mining,7288,9721,9721,5156,AOA Million
Angola,GDP from Public Administration,35906,34578,46488,21852,AOA Million
Angola,GDP from Services,79632,66245,79632,32726,AOA Million
Angola,GDP from Transport,17842,16356,19332,2084,AOA Million
Angola,GDP from Utilities,3992,3745,3992,1522,AOA Million
Angola,Unemployment Rate,32.4,31.9,35,19.9,percent
Angola,Minimum Wages,32181,32181,32181,3757,AOA/Month
Angola,Population,36.68,35.59,36.68,5.36,Million
Angola,Employed Persons,12109,11768,12109,9073,Thousand
Angola,Employment Rate,60.2,60.7,63.1,59.7,percent
Angola,Labor Force Participation Rate,89.1,89,91.8,86.5,percent
Angola,Unemployed Persons,5647,5465,5647,3676,Thousands
Angola,Youth Unemployment Rate,63.5,58.3,63.5,49.2,%
Angola,Inflation Rate,30.53,31.09,241,6.89,percent
Angola,Inflation Rate MoM,1.61,1.68,4.26,0.41,percent
Angola,Consumer Price Index CPI,208,204,208,29.48,points
Angola,Food Inflation,35.4,34.45,137,5.94,percent
Angola,CPI Housing Utilities,153,151,153,41.56,points
Angola,CPI Transportation,165,164,165,39.67,points
Angola,Producer Prices,706,692,706,94.82,points
Angola,Producer Prices Change,36.31,36.66,36.66,6.05,percent
Angola,Interest Rate,19.5,19.5,150,8.75,percent
Angola,Interbank Rate,22.16,21.07,22.16,7.24,percent
Angola,Deposit Interest Rate,6.85,7.1,147,3.15,percent
Angola,Cash Reserve Ratio,22,22,22,15,percent
Angola,Central Bank Balance Sheet,18225,17673,18225,46.49,AOA Billion
Angola,Foreign Exchange Reserves,14735,14699,34017,13350,USD Million
Angola,Lending Rate,20.5,20.5,25,9.75,percent
Angola,Loans To Banks,628065,618103,1149499,145378,AOA Million
Angola,Loans to Private Sector,6365252,6198014,6365252,1806943,AOA Million
Angola,Money Supply M1,8523244,8363074,10848137,1441166,AOA Million
Angola,Money Supply M2,16230713,16062892,16230713,2126263,AOA Million
Angola,Money Supply M3,16230713,16062892,16230713,2427697,AOA Million
Angola,Balance of Trade,5627,6362,42932,958,USD Million
Angola,Current Account,440,11763,13841,-10273,USD Million
Angola,Current Account to GDP,4.5,10.1,22.1,-28.1,percent of GDP
Angola,Exports,8822,10090,63914,3457,USD Million
Angola,Imports,3195,3728,22660,2103,USD Million
Angola,Capital Flows,-1478,-7846,8447,-7846,USD Million
Angola,Crude Oil Production,1084,1147,2030,503,BBL/D/1K
Angola,External Debt,50260,52066,52066,7595,USD Million
Angola,Foreign Direct Investment,4080,7009,16581,389,USD Million
Angola,Remittances,3.34,3.03,3.9,1.05,USD Million
Angola,Terrorism Index,2.25,0.16,6.35,0,Points
Angola,Government Debt to GDP,60.5,50.7,118,16.1,percent of GDP
Angola,Government Budget,-0.1,2.7,11.4,-7,percent of GDP
Angola,Government Revenues,13462,13371,13462,395,AOA Billion
Angola,Fiscal Expenditure,12902,11899,12902,468,AOA Billion
Angola,Corruption Index,33,33,33,15,Points
Angola,Corruption Rank,121,116,168,85,
Angola,Credit Rating,25,,,,
Angola,Government Budget Value,560,1472,1788,-1140,AOA Billion
Angola,Government Spending,9769,9663,9769,391,AOA Billion
Angola,Military Expenditure,1270,1623,6846,160,USD Million
Angola,Corporate Tax Rate,25,25,35,25,percent
Angola,Personal Income Tax Rate,25,25,25,15,percent
Angola,Sales Tax Rate,14,14,14,10,percent
Angola,Withholding Tax Rate,15,15,15,15,percent
Angola,Social Security Rate,11,11,11,11,percent
Angola,Social Security Rate For Companies,8,8,8,8,percent
Angola,Social Security Rate For Employees,3,3,3,3,percent
Angola,Business Confidence,11,8,31,-34,points
Angola,Industrial Production,5,2.2,12.2,-9.9,percent
Angola,Industrial Production Mom,-1.9,1,7.4,-6.1,percent
Angola,Manufacturing Production,3.9,0.8,34,-19.5,percent
Angola,Mining Production,5.4,2.5,13.8,-12.9,percent
Angola,Bank Lending Rate,18.44,18.4,24.98,9.66,percent
Angola,Crude Oil Rigs,4,4,18,0,
Argentina,Currency,966,966,14850,0.98,
Argentina,Stock Market,1727776,1715671,1855026,193,points
Argentina,GDP Growth Rate,-1.7,-2.57,10.94,-13.95,percent
Argentina,GDP Annual Growth Rate,-1.7,-5.1,18.7,-18.9,percent
Argentina,Unemployment Rate,7.6,7.7,20.8,5.7,percent
Argentina,Inflation Rate,237,266,20263,-7,percent
Argentina,Inflation Rate MoM,4.2,4,25.5,0.2,percent
Argentina,Interest Rate,40,40,126,3.25,percent
Argentina,Balance of Trade,1963,1575,2656,-1833,USD Million
Argentina,Current Account,3490,240,4298,-9396,USD Million
Argentina,Current Account to GDP,-0.6,-0.7,7.9,-5.2,percent of GDP
Argentina,Government Debt to GDP,88.4,85.2,167,34.5,percent of GDP
Argentina,Government Budget,-2.9,-2.4,3.7,-8.5,percent of GDP
Argentina,Consumer Confidence,39,41.46,60.97,28.44,points
Argentina,Corporate Tax Rate,35,35,35,30,percent
Argentina,Personal Income Tax Rate,35,35,35,35,percent
Argentina,GDP Growth Rate,-1.7,-2.57,10.94,-13.95,percent
Argentina,GDP Annual Growth Rate,-1.7,-5.1,18.7,-18.9,percent
Argentina,GDP,641,631,644,18.27,USD Billion
Argentina,GDP Constant Prices,7211270,668673,7211270,460369,ARS Million
Argentina,Gross Fixed Capital Formation,112373,108786,164572,71794,ARS Million
Argentina,GDP per Capita,12625,12941,14200,6987,USD
Argentina,GDP per Capita PPP,26467,27127,29768,17073,USD
Argentina,Full Year GDP Growth,-1.55,4.96,10.3,-9.9,percent
Argentina,Monthly GDP YoY,-1.3,-4,30,-24.4,percent
Argentina,Economic Activity Index,-3.9,2.3,29.5,-25.3,percent
Argentina,GDP from Agriculture,83227,39512,110971,27523,ARS Million
Argentina,GDP from Construction,17365,18513,23914,10644,ARS Million
Argentina,GDP from Manufacturing,101771,96337,138228,86448,ARS Million
Argentina,GDP from Mining,27549,26608,27549,17824,ARS Million
Argentina,GDP from Public Administration,35288,35736,36119,21071,ARS Million
Argentina,GDP from Services,81255,78352,102946,58565,ARS Million
Argentina,GDP from Transport,56470,52622,61030,28143,ARS Million
Argentina,GDP from Utilities,12874,13468,13796,8557,ARS Million
Argentina,Unemployment Rate,7.6,7.7,20.8,5.7,percent
Argentina,Employed Persons,13298,13114,13518,8339,Thousand
Argentina,Unemployed Persons,1088,822,3406,709,Thousand
Argentina,Employment Rate,44.8,44.3,45.8,33.4,percent
Argentina,Labor Force Participation Rate,48,48.6,48.6,38.4,percent
Argentina,Wages,890684,805705,890684,780,ARS/Month
Argentina,Minimum Wages,202800,180000,202800,0,ARS/Month
Argentina,Population,46.66,46.24,46.66,20.68,Million
Argentina,Wage Growth,7.68,11.97,19.99,-0.24,percent
Argentina,Inflation Rate,237,266,20263,-7,percent
Argentina,Inflation Rate MoM,4.2,4,25.5,0.2,percent
Argentina,Consumer Price Index CPI,6883,6608,6883,100,points
Argentina,GDP Deflator,76926,62541,76926,95.4,points
Argentina,Producer Prices,10184,9977,10184,0,points
Argentina,Export Prices,183,187,226,69.8,points
Argentina,Import Prices,142,135,159,88.3,points
Argentina,Producer Price Inflation MoM,2.1,2.6,50.9,-1.4,Percent
Argentina,Core Consumer Prices,6932,6657,6932,100,points
Argentina,Core Inflation Rate,228,258,300,21.1,percent
Argentina,CPI Housing Utilities,5995,5600,5995,100,points
Argentina,CPI Transportation,7335,6979,7335,100,points
Argentina,Food Inflation,237,276,308,19.94,percent
Argentina,Inflation Expectations,50,50,150,20,percent
Argentina,Producer Prices Change,211,259,312,-7.15,percent
Argentina,Interest Rate,40,40,126,3.25,percent
Argentina,Interbank Rate,42.29,37.95,1390,1.2,percent
Argentina,Money Supply M0,21953007,21822978,21953007,369,ARS Million
Argentina,Money Supply M1,31370160,29508766,31370160,440,ARS Million
Argentina,Money Supply M2,52804394,51298394,52804394,712,ARS Million
Argentina,Money Supply M3,88889340,85981095,88889340,776,ARS Million
Argentina,Deposit Interest Rate,38.1,36,1647,2.2,percent
Argentina,Central Bank Balance Sheet,97194564,91302281,179542640,446266,USD Million
Argentina,Foreign Exchange Reserves,24353,24073,65345,13,USD Million
Argentina,Balance of Trade,1963,1575,2656,-1833,USD Million
Argentina,Current Account,3490,240,4298,-9396,USD Million
Argentina,Current Account to GDP,-0.6,-0.7,7.9,-5.2,percent of GDP
Argentina,Exports,6793,7221,8433,55,USD Million
Argentina,Imports,4830,5646,8664,36,USD Million
Argentina,External Debt,289969,287809,289969,87524,USD Million
Argentina,Terms of Trade,130,138,152,73.6,points
Argentina,Capital Flows,1997,-4387,7623,-9523,USD Million
Argentina,Foreign Direct Investment,49,74.22,745,18.22,USD Million
Argentina,Tourist Arrivals,531495,351179,1851392,0,
Argentina,Gold Reserves,61.74,61.74,61.74,0.28,Tonnes
Argentina,Crude Oil Production,683,680,855,446,BBL/D/1K
Argentina,External Debt to GDP,31.3,45.6,45.6,12,percent of GDP
Argentina,Terrorism Index,1.27,2.88,3.4,0.36,Points
Argentina,Government Debt to GDP,88.4,85.2,167,34.5,percent of GDP
Argentina,Government Budget,-2.9,-2.4,3.7,-8.5,percent of GDP
Argentina,Government Budget Value,899660,908253,2332205,-1991316,ARS Million
Argentina,Government Spending,96670,92658,105392,49687,ARS Million
Argentina,Government Revenues,9333748,8182494,9333748,3240,ARS Million
Argentina,Corruption Index,37,38,52.4,25,Points
Argentina,Corruption Rank,98,94,109,24,
Argentina,Credit Rating,12,,,,
Argentina,Military Expenditure,3122,4338,6477,0,USD Million
Argentina,Tax Revenue,11764000,11911000,13379000,2819,ARS Million
Argentina,Corporate Tax Rate,35,35,35,30,percent
Argentina,Personal Income Tax Rate,35,35,35,35,percent
Argentina,Sales Tax Rate,21,21,21,21,percent
Argentina,Social Security Rate,37.4,37.4,44,37.4,percent
Argentina,Social Security Rate For Companies,20.4,20.4,27,20.4,percent
Argentina,Social Security Rate For Employees,17,17,17,13,percent
Argentina,Withholding Tax Rate,35,35,35,35,percent
Argentina,Industrial Production,-5.4,-15,56.2,-33.2,percent
Argentina,Industrial Production Mom,-1.6,-0.2,20,-22.5,percent
Argentina,Capacity Utilization,59.7,54.5,84.1,42,percent
Argentina,Changes in Inventories,-29550,37968,37968,-29550,ARS Million
Argentina,Car Production,51650,44436,81868,0,Units
Argentina,Car Registrations,38682,33043,90307,3646,Units
Argentina,Leading Economic Index,-0.26,1.5,14.39,-9.98,percent
Argentina,Consumer Confidence,39,41.46,60.97,28.44,points
Argentina,Retail Sales YoY,187,220,3763,-96.8,percent
Argentina,Consumer Spending,521188,510224,588456,293850,ARS Million
Argentina,Gasoline Prices,1.09,1.04,1.46,0.6,USD/Liter
Argentina,Households Debt to GDP,3.5,4,7.3,2.5,percent of GDP
Argentina,Housing Index,1.78,3.28,30.65,-1.16,percent
Argentina,Building Permits,829,973,1686,74.56,Thousands Square Metre
Argentina,Construction Output,-20.4,-35.3,322,-76.2,percent
Armenia,GDP Annual Growth Rate,6.4,6.6,19.1,-19.7,percent
Armenia,Unemployment Rate,15.5,13.1,21.1,6.3,percent
Armenia,Inflation Rate,1.3,1.4,22887,-5.52,percent
Armenia,Interest Rate,7.5,7.75,10.75,3,percent
Armenia,Balance of Trade,-264,-372,96.8,-1113,USD Million
Armenia,Current Account,-297,47.8,328,-534,USD Million
Armenia,Current Account to GDP,-3.4,0.1,0.1,-22,percent of GDP
Armenia,Government Debt to GDP,48.1,49.27,63.47,14.25,percent of GDP
Armenia,Government Budget,-2.3,-2.3,-0.7,-7.5,percent of GDP
Armenia,Corporate Tax Rate,18,18,20,18,percent
Armenia,Personal Income Tax Rate,20,20,36,20,percent
Armenia,GDP Annual Growth Rate,6.4,6.6,19.1,-19.7,percent
